PRODUCT NAME,Category,MRP Incl. GST,MRP Ex. GST,HSN CODE,TYPRE
KP 6/77 DARK BLND BRWN INT 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP 6/1 DARK BLND ASH 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
SP DIA REPAIR MASK 400ML  ,System Professional,"₹ 3,100.00","₹ 2,627.12",33059090,CAN-CANS
WP FUSION MASK 150ML,Wella Professional,"₹ 1,250.00","₹ 1,059.32",33059090,CAN-CANS
WP OIL REF MASK 150ML,Wella Professional,"₹ 1,250.00","₹ 1,059.32",33059090,CAN-CANS
SP DIA SMOOTHEN MASK 400ML  ,System Professional,"₹ 3,100.00","₹ 2,627.12",33059090,CAN-CANS
SP DIA HYDRATE MASK 400ML ,System Professional,"₹ 3,100.00","₹ 2,627.12",33059090,CAN-CANS
KP 7/2 MATT MEDIUM BLND 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
SP DIA LUXE OIL 100ML ,System Professional,"₹ 3,100.00","₹ 2,627.12",33052000,BTL-BOTTLES
KP 6/2 MATT DARK BLND 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
WP OIL REF MASK 500ML,Wella Professional,"₹ 1,950.00","₹ 1,652.54",33059090,CAN-CANS
KP 10/38 BLONDE GLDN PRL 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP 12/0 SPECIAL BLND NTRL 60GM ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP 12/17 SPECIAL BLND ASH BRWN 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
WELLOXON PRFT ME+ 6% 1L ,Wella Professional,₹ 750.00,₹ 635.59,33059090,BTL-BOTTLES
SP DIA SMOOTHEN SHMP 250ML  ,System Professional,"₹ 2,050.00","₹ 1,737.29",33051090,BTL-BOTTLES
SP DIA HYDRATE INF 20X5ML ,System Professional,"₹ 5,000.00","₹ 4,237.29",33059090,BTL-BOTTLES
KP 66/0 DARK BLND INT 60G ,Wella Professional,₹ 390.00,₹ 330.51,33059040,TUB-TUBES
KP 8/7 LIGHT BLND BRWN 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP 7/7 MEDIUM BLND BRWN 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP 44/0 MEDIUM BRWN INT 60G ,Wella Professional,₹ 390.00,₹ 330.51,33059040,TUB-TUBES
KP 55/46 INT RED VLT 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP 66/46 DRK INT RED VIOL 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
SP DIA REPAIR MASK 200ML  ,System Professional,"₹ 2,900.00","₹ 2,457.63",33059090,CAN-CANS
SP DIA HYDRATE SHMP 250ML ,Sebastain,"₹ 2,050.00","₹ 1,737.29",33051090,BTL-BOTTLES
ELEMENTS 2.0 CALM SHAMPOO 1000ML ,Wella Professional,"₹ 1,900.00","₹ 1,610.17",33051090,BTL-BOTTLES
SP DIA REPAIR INF 20X5ML  ,System Professional,"₹ 5,000.00","₹ 4,237.29",33059090,BTL-BOTTLES
SP DIA REPAIR COND 200ML  ,System Professional,"₹ 2,500.00","₹ 2,118.64",33059090,TUB-TUBES
ELEMENTS SHAMPOO 250ML ,Wella Professional,"₹ 1,150.00",₹ 974.58,33051090,BTL-BOTTLES
SEB SHAPER FIERCE 400ML,Sebastain,"₹ 2,100.00","₹ 1,779.66",33059090,BTL-BOTTLES
KP 55/0 LIGHT BRWN INT 60G ,Wella Professional,₹ 390.00,₹ 330.51,33059040,TUB-TUBES
WP BLONDORPLEX ATB POWD 400G,Wella Professional,"₹ 1,500.00","₹ 1,271.19",33059040,BTL-BOTTLES
SP DIA LUXE K-R TRM 200ML  ,System Professional,"₹ 3,100.00","₹ 2,627.12",33059090,BTL-BOTTLES
SP DIA HYDRATE MASK 200ML ,System Professional,"₹ 2,900.00","₹ 2,457.63",33059090,CAN-CANS
SP DIA BI-PHASE COND 185ML ,System Professional,"₹ 2,500.00","₹ 2,118.64",33059090,BTL-BOTTLES
WP INVIGO ENRICH COND 1000ML,Wella Professional,"₹ 1,700.00","₹ 1,440.68",33059090,BTL-BOTTLES
SEB POTION9 STYL TRT 150ML ,Sebastain,"₹ 2,150.00","₹ 1,822.03",33059090,BTL-BOTTLES
CT EMULSION 4% 1000ML ,Wella Professional,₹ 750.00,₹ 635.59,33059090,BTL-BOTTLES
SP DIA SMOOTHEN MASK 200ML  ,System Professional,"₹ 2,900.00","₹ 2,457.63",33059090,CAN-CANS
KP 6/7 DARK BLND BRWN 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
SEB VOLUPT SPRAY 150ML,Sebastain,"₹ 2,100.00","₹ 1,779.66",33051090,BTL-BOTTLES
NAIL ENVY-STRENGTH+COLOR PINK TO ENVY15ML,NAIL PAINT,₹ 650.00,₹ 550.85,33043000,BTL-BOTTLES
NAIL ENVY STRENGTH+COLOR BIG APPLE RED15M,NAIL PAINT,₹ 650.00,₹ 550.85,33043000,BTL-BOTTLES
NAIL ENVY-STRENGTH+COLOR TOUGH LUV 15ML,NAIL PAINT,₹ 650.00,₹ 550.85,33043000,BTL-BOTTLES
NAIL ENVYSTRENGTH+COLORALLNIGHTSTRONG15ML,NAIL PAINT,₹ 650.00,₹ 550.85,33043000,BTL-BOTTLES
NAIL ENVY-STRENGTH+COLOR DOUBLE NUDE-Y15M,NAIL PAINT,₹ 650.00,₹ 550.85,33043000,BTL-BOTTLES
NAIL ENVY-STRENGTH+COLOR POWERFUL PINK15M,NAIL PAINT,₹ 650.00,₹ 550.85,33043000,BTL-BOTTLES
NAIL ENVY-STRENGTH+COLOR ALPINE SNOW 15ML,NAIL PAINT,₹ 650.00,₹ 550.85,33043000,BTL-BOTTLES
KP 66/56 INT MHGNY VLT 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP 7/3 MEDIUM BLND GOLD 60G,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP 9/3 VERY LIGHT BLND GOLD 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
KP 7/73 MEDIUM BLND BRWN GLD 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
WP EIMI BOLD MOVE 150ML ,Wella Professional,₹ 700.00,₹ 593.22,33059050,CAN-CANS
WP EIMI SHINE GLAM MIST 200ML ,Wella Professional,₹ 900.00,₹ 762.71,33059050,BTL-BOTTLES
WP EIMI DRY ME 180ML ,Wella Professional,"₹ 1,050.00",₹ 889.83,33059050,BTL-BOTTLES
SP DIA BALANCE  MASK 200ML ,System Professional,"₹ 2,900.00","₹ 2,457.63",33059090,CAN-CANS
KP 7/75 BROWN MHGNY 60G ,Wella Professional,₹ 400.00,₹ 338.98,33059040,TUB-TUBES
WP EIMI RUGGED TEXTURE 75ML ,Wella Professional,₹ 700.00,₹ 593.22,33059050,TUB-TUBES
SP DIA HYDRATE EMUL 50ML ,System Professional,₹ 510.00,₹ 432.20,33059090,BTL-BOTTLES
SP DIA BALANCE SHMP 250ML ,System Professional,"₹ 2,100.00","₹ 1,779.66",33051090,BTL-BOTTLES
SEB TAMING ELIXIR SERUM 140ML ,Sebastain,"₹ 2,300.00","₹ 1,949.15",33059090,BTL-BOTTLES
SP DIA REPAIR EMUL 50ML,System Professional,₹ 510.00,₹ 432.20,33059090,BTL-BOTTLES
